"","ID","Reason for absence","Month of absence","Day of the week","Seasons","Transportation expense","Distance from Residence to Work","Service time","Age","Work load Average/day","Hit target","Disciplinary failure","Education","Son","Social drinker","Social smoker","Pet","Weight","Height","predictions_DT_future"
"67",3,"23","0","6","4",0.225925925925926,0.978723404255319,0.607142857142857,0.354838709677419,0.346216578318868,0.461538461538462,"0","1","0","1","0","0",0.634615384615385,0.212121212121212,0.168188202247191
"738",4,"0","0","3","1",0,0.191489361702128,0.428571428571429,0.419354838709677,0.47549076716957,0.615384615384615,"0","1","1","1","0","8",0.807692307692308,0.212121212121212,0.168188202247191
"739",8,"0","0","4","2",0.418518518518519,0.638297872340426,0.464285714285714,0.387096774193548,0.47549076716957,0.615384615384615,"0","1","2","1","0","2",0.846153846153846,0.212121212121212,0.168188202247191
"740",35,"0","0","6","3",0.225925925925926,0.851063829787234,0.464285714285714,0.838709677419355,0.47549076716957,0.615384615384615,"0","1","1","0","0","1",0.403846153846154,0.363636363636364,0.168188202247191
"362",1,"13","1","3","2",0.433333333333333,0.127659574468085,0.464285714285714,0.32258064516129,0.903943612745384,1,"0","3","1","0","0","1",0.615384615384615,0.272727272727273,0.364375
"582",3,"27","1","4","2",0.225925925925926,0.978723404255319,0.607142857142857,0.354838709677419,0.783589153608668,0.692307692307692,"0","1","0","1","0","0",0.634615384615385,0.212121212121212,0.168188202247191
"584",3,"27","1","5","2",0.225925925925926,0.978723404255319,0.607142857142857,0.354838709677419,0.783589153608668,0.692307692307692,"0","1","0","1","0","0",0.634615384615385,0.212121212121212,0.168188202247191
"585",3,"27","1","6","2",0.225925925925926,0.978723404255319,0.607142857142857,0.354838709677419,0.783589153608668,0.692307692307692,"0","1","0","1","0","0",0.634615384615385,0.212121212121212,0.168188202247191
"369",3,"28","1","6","2",0.225925925925926,0.978723404255319,0.607142857142857,0.354838709677419,0.903943612745384,1,"0","1","0","1","0","0",0.634615384615385,0.212121212121212,0.168188202247191
"368",3,"2","1","4","2",0.225925925925926,0.978723404255319,0.607142857142857,0.354838709677419,0.903943612745384,1,"0","1","0","1","0","0",0.634615384615385,0.212121212121212,0.168188202247191
